Titre,Prix,Nombre de pieces,Type,Adresse,Secteur,Surface totale en m^2,Salons,Salles de bain,Etage,Age du bien,Superficie habitable,Frais de syndic / mois,Garage,Securite,Meuble,Climatisation,Chauffage,Parking,Concierge,Piscine,Jardin,Loti,Cuisine equipee,Terrasse,Ascenseur,Balcon
Villa de 235 m2 à sidi bouzid,2200000.0,5.0,Maisons et Villas,,Centre,235 , 3,5,,6-10 ans,250 ,0,Oui,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Oui,Non,Oui
Appartement Haut-Founty pas loin de Marjane 173m2,1211000.0,3.0,Appartements,,Haut-Founty,, 2,3,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Oui
Appartement a vendre,1640000.0,2.0,Appartements, Qartier sukrate ,Maarif,123 , 2,2,5.0,6-10 ans,108 ,300,Non,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui
Duplex en face de twin centre Casablanca,2000000.0,2.0,Appartements,,Centre Ville,162 , 2,2,3.0,6-10 ans,162 ,0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Oui,Oui
Appartement agadir,400000.0,2.0,Appartements,,Hay Salam,58 , 1,1,1.0,1-5 ans,58 ,100,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Non,Oui
Terrain pour Villa 865m2 Ain Diab,7785000.0,,Terrains et Fermes,,Ain Diab,865 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
Usine 2000m2 zone industrielle Hay Moulay Rachid,6000000.0,,Magasins,,Hay Moulay Rachid,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain 520 m² secteur Industriel i2S1,2500000.0,,Terrains et Fermes, CENTRE DE SIDI MAAROUF ,Sidi Maarouf,520 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Duplex à Tétouan 360m,5000000.0,6.0,Appartements,,Centre ville,360 , 4,4,0.0,6-10 ans,,300,Oui,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Oui
APPART New 70 m² au 3 éme étg,715000.0,2.0,Appartements, BD ABOU BAKR KADIRI ,Sidi Maarouf,70 , 1,1,0.0,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Villa a vendre,10500000.0,5.0,Maisons et Villas, Californie ,Californie,866 , 4,4,,11-20 ans,866 ,0,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui
local commercial à ceder(mur),1000000.0,,Magasins, 23 rue de l''atlas,Maarif,110 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
شقق غير ب 25 مليون,250000.0,3.0,Appartements,,Autre secteur,72 , 1,1,1.0,Neuf/Premiere main,66 ,0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui
joli appartement 65m2 a saidia,470000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain Mhaita,290000.0,,Terrains et Fermes, Nadim,Maihta,79 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non
Terrain de villa,460000.0,,Terrains et Fermes,,Route de Casablanca,200 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
مكازا تجارية,370000.0,1.0,Magasins, lotissement el houda,Nahda,45 ,,1 ,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 74 m2,498000.0,3.0,Appartements, av bahnini bir rami,Bir Rami,83 , 2,2,2.0,Neuf/Premiere main,74 ,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
belle appartement 73 m2 a coté de la plage,470000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
APPARTEMENT 47 m2 MAARIF TWIN CENTER,660000.0,1.0,Appartements, 149 rue Ibn Fariss,Maarif,47 , 1,1,1.0,6-10 ans,47 ,100,Non,Oui,Non,Oui,Non,Non,Oui,Non,Non,Non,Non,Oui,Oui,Non
Appartement en Vente à Tanger,2120000.0,4.0,Appartements,,Centre ville,204 , 2,2,0.0,,,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non
magnifique appartement 75 m2 a saidia,480000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
joli appartement 65m2 a saidia,470000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
اونتوراج بالرخصة ديالو,160000.0,,Terrains et Fermes, hay lamharchi trig elgharb,Autre secteur,86 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement à ve,850000.0,2.0,Appartements, Quartier sukrat ,Maarif,65 , 1,1,2.0,6-10 ans,65 ,0,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
شقة للسكن 71 م2 في طور البناء حي الهدى أكادير,490000.0,6.0,Appartements, pres d cafe Ichbiliya,Hay Houda,71 , 1,2,4.0,Neuf/Premiere main,71 ,1,Non,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Non
belle appartement 73 m2 a coté de la plage,470000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement de 85 m2 Bir Rami,620000.0,2.0,Appartements, av bahnini bir rami,Bir Rami,85 , 2,2,2.0,Neuf/Premiere main,80 ,620000,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Oui,Oui
LOCAL COMMERCIALE ANFA 445m2,10000000.0,3.0,Magasins, ANFA VELODROME ,Anfa,445 ,,2,,,,0,Non,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non
magnifique appartement 75 m2 a saidia,480000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain commercial,330000.0,,Terrains et Fermes,,Route de Casablanca,80 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartements en Vente à Martil,440000.0,2.0,Appartements,,Toute la ville,48 , 1,1,2.0,Neuf/Premiere main,48 ,0,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Non,Non,Oui
joli appartement 63 m2 avec bon prix a saidia,460000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain 200 m2 à Tamesna,550000.0,,Terrains et Fermes, lotissement Read Tamesna,Toute la ville,200 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Appartement à Casablanca Aïn Diab,2000000.0,3.0,Appartements, BD EL HACHEMI EL FILALI EXT TADART ,Californie,, 1,2,,Neuf/Premiere main,,0,Non,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non
Immeuble a Casablanca,3318000.0,,Maisons et Villas, Quartier al oulia ,Oulfa,156 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
joli appartement 65 m2 avef bonne finition,400000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
Terrain habitable,310000.0,,Terrains et Fermes,,Route de Casablanca,80 ,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
bel appartement 75 m2 avec 2 façade,580000.0,2.0,Appartements,,Toute la ville,,,,,,,0,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
